CANDIDATO_ID;CANDIDATO;CURSO_ID;CURSO;PROCESSO_ID;PROCESSO;PERIODO_LETIVO;FORMA_PAGAMENTO_ID;FORMA_PAGAMENTO;BOLSA_ESTUDO;CALL_CENTER;VALOR;DATA_PREINSCRICAO;HORA_PREINSCRICAO;DATA_INSCRICAO;HORA_INSCRICAO;DATA_PAGINSCRICAO;HORA_PAGINSCRICAO
14228;Candidato 14228;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;2258;20190213;2302;;
14229;Candidato 14229;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;2320;20190213;2333;;
14231;Candidato 14231;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;21;;;;
14232;Candidato 14232;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190214;39;20190214;41;20190214;0
14233;Candidato 14233;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190214;113;20190214;118;20190215;0
14234;Candidato 14234;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;212;20190214;229;;
14234;Candidato 14234;4;Curso 4;22;Processo 22;2019/2;;;0;0;;20190416;1938;20190416;1947;;
14235;Candidato 14235;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190214;721;20190214;727;20190214;1405
14236;Candidato 14236;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190214;723;20190214;1431;20190214;0
14237;Candidato 14237;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;828;20190214;832;;
14238;Candidato 14238;20;Curso 20;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190215;1825;20190216;825;20190216;0
14239;Candidato 14239;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;910;20190214;914;;
14240;Candidato 14240;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;930;;;;
14241;Candidato 14241;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;932;20190214;935;;
14242;Candidato 14242;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190214;941;20190214;948;20190215;0
14242;Candidato 14242;4;Curso 4;22;Processo 22;2019/2;;;0;0;;20190522;1713;20190522;1716;;
14242;Candidato 14242;4;Curso 4;29;Processo 29;2020/1;1;Boleto;0;1;200.00;20191021;1056;20191021;1157;20191022;0
14243;Candidato 14243;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;943;20190214;946;;
14244;Candidato 14244;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1014;20190214;1016;;
14245;Candidato 14245;17;Curso 17;15;Processo 15;2019/1;;;;;;20190214;1057;;;;
14246;Candidato 14246;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1116;20190214;1124;;
14247;Candidato 14247;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1126;;;;
14248;Candidato 14248;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1131;20190214;1136;;
14249;Candidato 14249;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1132;;;;
14250;Candidato 14250;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190214;1146;20190214;1149;20190214;0
14251;Candidato 14251;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190214;1223;20190214;1233;20190214;1258
14252;Candidato 14252;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1238;;;;
14253;Candidato 14253;6;Curso 6;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190214;1307;20190214;1314;20190214;0
14254;Candidato 14254;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1311;20190214;1313;;
14255;Candidato 14255;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1314;20190214;1316;;
14256;Candidato 14256;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1323;20190214;1436;;
14257;Candidato 14257;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1335;20190214;1337;;
14258;Candidato 14258;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1344;20190214;1357;;
14259;Candidato 14259;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1439;20190214;1457;;
14260;Candidato 14260;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1439;;;;
14261;Candidato 14261;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190214;1457;20190214;1507;20190214;0
14262;Candidato 14262;13;Curso 13;15;Processo 15;2019/1;;;0;0;;20190214;1501;20190214;1514;;
14262;Candidato 14262;13;Curso 13;19;Processo 19;2019/2;;;0;0;;20190515;1921;20190516;1835;;
14262;Candidato 14262;13;Curso 13;20;Processo 20;2019/2;;;0;1;;20190528;1954;20190528;1956;;
14263;Candidato 14263;49;Curso 49;15;Processo 15;2019/1;;;;;;20190214;1507;;;;
14264;Candidato 14264;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1524;20190214;1527;;
14265;Candidato 14265;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1547;;;;
14266;Candidato 14266;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1553;;;;
14267;Candidato 14267;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1603;20190215;1348;;
14268;Candidato 14268;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1628;;;;
14269;Candidato 14269;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1639;20190214;1641;;
14269;Candidato 14269;4;Curso 4;26;Processo 26;2020/1;1;Boleto;0;0;300.00;20191009;1536;20191009;1538;20191023;0
14270;Candidato 14270;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1659;;;;
14271;Candidato 14271;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190214;1718;20190214;1720;20190214;1721
14272;Candidato 14272;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190214;1753;20190214;1808;20190214;1820
14273;Candidato 14273;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1758;20190214;1802;;
14274;Candidato 14274;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1826;20190214;1830;;
14275;Candidato 14275;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;1831;20190214;1838;;
